date,airline,flightNo,togo,originTime,departTime,type,state,reason
20170801,아시아나항공,OZ587,BRU(브뤼셀),00:00,00:05,화물,출발,
20170801,에어재팬화물항공,NQ8480,OKA(오키나와),00:05,00:15,화물,출발,
20170801,에미레이트항공,EK323,DXB(두바이),00:10,00:13,여객,출발,
20170801,대한항공,KE473,MLE(말레),00:20,00:03,여객,출발,
20170801,싱가폴항공,SQ007,SIN(싱가포르),00:35,00:52,여객,출발,
20170801,카타르항공,QR859,DOH(도하),00:45,00:55,여객,출발,
20170801,네덜란드항공,KL856,AMS(암스테르담),00:55,01:27,여객,출발,
20170801,에티하드,EY873,AUH(아부다비 국제공항),00:55,01:16,여객,출발,
20170801,대한항공,KE597,ZAZ(사라고사),00:55,01:05,화물,출발,
20170801,칼리타화물항공,K4823,ANC(앵커리지),01:00,02:10,,지연,연결-항공기에 의한 지연
20170801,아시아나항공,OZ987,PVG(푸동),01:05,07:29,화물,지연,연결-항공기에 의한 지연
20170801,타이에어아시아엑스,XJ703,DMK(방콕(돈므앙)),01:05,01:18,여객,출발,
20170801,칼리타화물항공,K42447,SEA(시애틀),01:20,02:50,화물,지연,연결-항공기에 의한 지연
20170801,카타르항공,QR859,DOH(도하),01:20,:,여객,,에 의한 
20170801,몽골항공,OM308,ULN(부얀트 우카(울란바타르)),01:30,03:21,여객,지연,연결-항공기에 의한 지연
20170801,독일화물항공,LH8387,FRA(프랑크푸르트),01:50,01:50,화물,출발,
20170801,대한항공,KE335,PVG(푸동),02:10,02:20,화물,출발,
20170801,팔익스프레스,2P2483,TAG(),02:30,:,여객,,에 의한 
20170801,대한항공,KE541,OSL(오슬로),02:35,:,화물,,에 의한 
20170801,팔익스프레스,2P2483,TAG(),02:45,03:02,여객,출발,
20170801,수파르나항공,Y87422,PVG(푸동),04:00,:,화물,,에 의한 
20170801,홍콩익스프레스,UO615,HKG(홍콩),04:25,04:24,여객,출발,
20170801,폴라에어카고 월드와이드,PO225,CVG(신시내티),04:35,04:52,화물,출발,
20170801,중국화운항공,CK258,PVG(푸동),04:50,05:14,화물,출발,
20170801,폴라에어카고 월드와이드,PO997,PVG(푸동),05:00,05:17,화물,출발,
20170801,폴라에어카고 월드와이드,PO997,PVG(푸동),05:00,:,화물,,에 의한 
20170801,폴라에어카고 월드와이드,PO969,HKG(홍콩),05:15,05:27,화물,출발,
20170801,제주항공,7C9392,GMP(김포),06:00,06:30,,지연,연결-항공기에 의한 지연
20170801,에어인천,KJ221,TAO(청도),06:05,:,화물,,에 의한 
20170801,티웨이항공,TW3011,PUS(김해),06:30,06:30,,출발,
20170801,팬퍼시픽항공,8Y701,KLO(칼리보),06:45,06:59,여객,출발,
20170801,홍콩익스프레스,UO3681,HKG(홍콩),06:45,07:05,여객,출발,
20170801,필리핀항공,PR489,KLO(칼리보),06:50,06:56,여객,출발,
20170801,베트남항공,VN9405,CXR(깜라인(냐짱)),06:55,07:15,여객,출발,
20170801,에어인천,KJ231,YNT(연대),06:55,07:13,화물,출발,
20170801,필리핀에어아시아,Z2037,KLO(칼리보),06:55,07:21,여객,출발,
20170801,대한항공,KE1462,GMP(김포),07:00,08:01,,지연,기타에 의한 지연
20170801,비엣제트 항공,VJ879,DAD(다낭),07:00,09:16,여객,지연,연결-항공기에 의한 지연
20170801,대한항공,KE1495,PUS(김해),07:05,07:24,,출발,
20170801,제주항공,7C1304,KIX(간사이),07:10,07:33,여객,출발,
20170801,제주항공,7C1162,NRT(나리타),07:10,07:26,여객,출발,
20170801,장영항공(長榮),BR149,TPE(타이완 타오위안 국제 공항),07:10,07:35,여객,출발,
20170801,진에어,LJ221,FUK(후쿠오카),07:15,07:46,여객,출발,
20170801,진에어,LJ221,FUK(후쿠오카),07:15,:,여객,,에 의한 
20170801,비엣제트 항공,VJ925,HPH(카트비),07:15,07:39,여객,출발,
20170801,티웨이항공,TW9201,NRT(나리타),07:15,07:37,여객,출발,
20170801,이스타항공,ZE605,NRT(나리타),07:20,07:58,여객,출발,
20170801,아시아나항공,OZ731,SGN(떤선녀엇(호찌민)),07:20,:,여객,,에 의한 
20170801,아시아나항공,OZ731,SGN(떤선녀엇(호찌민)),07:20,07:53,여객,출발,
20170801,아시아나항공,OZ1527,SYO(쇼나이),07:20,07:31,여객,출발,
20170801,진에어,LJ201,NRT(나리타),07:25,07:51,여객,출발,
20170801,티웨이항공,TW297,OIT(오이타),07:25,07:41,여객,출발,
20170801,에어서울,RS722,NGS(나가사키),07:25,07:57,여객,출발,
20170801,대한항공,KE529,FRA(프랑크푸르트),07:30,07:42,화물,출발,
20170801,진에어,LJ021,CEB(),07:30,08:00,여객,출발,
20170801,진에어,LJ261,KKJ(기타규슈),07:30,:,여객,,에 의한 
20170801,피치항공,MM012,KIX(간사이),07:30,07:45,여객,출발,
20170801,티웨이항공,TW9253,AKJ(아사히카와),07:30,07:48,여객,출발,
20170801,진에어,LJ021,CEB(),07:30,:,여객,,에 의한 
20170801,이스타항공,ZE621,CTS(삿포로),07:40,08:03,여객,출발,
20170801,중국동방항공,MU5050,YNT(연대),07:45,08:04,여객,출발,
20170801,티웨이항공,TW201,NRT(나리타),07:45,08:05,여객,출발,
20170801,티웨이항공,TW125,DAD(다낭),07:45,08:09,여객,출발,
20170801,진에어,LJ081,TPE(타이완 타오위안 국제 공항),07:50,08:16,여객,출발,
20170801,진에어,LJ211,KIX(간사이),07:50,08:08,여객,출발,
20170801,아시아나항공,OZ112,KIX(간사이),07:55,08:18,여객,출발,
20170801,이스타항공,ZE643,FUK(후쿠오카),07:55,08:11,여객,출발,
20170801,이스타항공,ZE601,NRT(나리타),07:55,09:17,여객,지연,연결-항공기에 의한 지연
20170801,세부퍼시픽항공,5J181,KLO(칼리보),07:55,08:12,여객,출발,
20170801,대한항공,KE747,OKJ(오카야마),08:00,08:20,여객,출발,
20170801,대한항공,KE787,FUK(후쿠오카),08:00,08:30,여객,출발,
20170801,대한항공,KE1411,TAE(대구),08:00,08:15,여객,출발,
20170801,에어마카오,NX825,MFM(마카오),08:00,08:44,여객,출발,
20170801,아틀라스화물항공,5Y2828,LAX(로스앤젤레스),08:00,08:59,화물,출발,
20170801,대한항공,KE809,CGO(정저우),08:00,:,여객,,에 의한 
20170801,대한항공,KE809,CGO(정저우),08:00,08:22,여객,출발,
20170801,대한항공,KE787,FUK(후쿠오카),08:00,:,여객,,에 의한 
20170801,대한항공,KE621,MNL(마닐라),08:00,08:24,여객,출발,
20170801,티웨이항공,TW281,KIX(간사이),08:00,08:13,여객,출발,
20170801,아시아나항공,OZ701,MNL(마닐라),08:05,:,여객,,에 의한 
20170801,대한항공,KE831,SHE(심양),08:05,08:50,여객,출발,
20170801,아시아나항공,OZ701,MNL(마닐라),08:05,08:36,여객,출발,
20170801,대한항공,KE603,HKG(홍콩),08:10,08:31,여객,출발,
