date,airline,flightNo,togo,originTime,departTime,type,state,reason
20200801,대한항공,KE8265,ATL(애틀랜타),00:05,00:50,화물,출발,
20200801,칼리타화물항공,K4912,ANC(앵커리지),00:05,00:05,화물,출발,
20200801,대한항공,KE361,HAN(노이바이(하노이)),00:05,00:19,화물,출발,
20200801,아시아나항공,OZ284,SFO(샌프란시스코),00:05,00:04,화물,출발,
20200801,폴라에어카고 월드와이드,PO214,CVG(신시내티),00:05,00:09,화물,출발,
20200801,아시아나항공,OZ3855,SIN(싱가포르),00:05,00:14,화물,출발,
20200801,대한항공,KE213,LAX(로스앤젤레스),00:05,00:11,화물,출발,
20200801,대한항공,KE319,CAN(광저우),00:05,00:16,화물,출발,
20200801,아틀라스화물항공,5Y8152,ORD(시카고),00:25,00:33,화물,출발,
20200801,에티하드,EY873,AUH(아부다비 국제공항),00:30,00:25,여객,출발,
20200801,대한항공,KE9575,MXP(밀라노),00:30,01:24,화물,출발,
20200801,카타르항공,QR8981,DOH(도하),00:30,01:57,화물,지연,연결-항공기에 의한 지연
20200801,대한항공,KE323,XIY(시안),00:35,02:02,화물,지연,연결-항공기에 의한 지연
20200801,아시아나항공,OZ387,HAN(노이바이(하노이)),00:55,01:15,화물,출발,
20200801,페덱스화물항공,FX9798,ANC(앵커리지),01:00,01:21,화물,출발,
20200801,아시아나항공,OZ987,PVG(푸동),01:05,01:19,화물,출발,
20200801,아틀라스화물항공,5Y531,PVG(푸동),01:05,15:55,,지연,연결-항공기에 의한 지연
20200801,아틀라스화물항공,5Y585,ORD(시카고),01:10,01:32,화물,출발,
20200801,폴라에어카고 월드와이드,PO715,PVG(푸동),01:10,01:45,화물,출발,
20200801,아틀라스화물항공,5Y551,HGH(항저우),01:15,01:40,,출발,
20200801,카타르항공,QR859,DOH(도하),01:25,01:17,여객,출발,
20200801,유피에스화물항공,5X86,PVG(푸동),01:30,01:27,화물,출발,
20200801,대한항공,KE249,JFK(뉴욕),01:40,01:53,화물,출발,
20200801,독일화물항공,LH8390,KIX(간사이),01:55,01:59,화물,출발,
20200801,프랑스항공,AF193,CDG(파리),02:00,02:13,,출발,
20200801,에어로로직,3S587,LEJ(라이프치히),02:20,02:15,화물,출발,
20200801,독일화물항공,LH8387,FRA(프랑크푸르트),02:25,02:17,화물,출발,
20200801,대한항공,KE541,OSL(오슬로),02:30,06:40,화물,지연,연결-항공기에 의한 지연
20200801,서던화물항공,9S736,CVG(신시내티),02:50,06:20,,지연,연결-항공기에 의한 지연
20200801,에어재팬화물항공,NQ8536,NRT(나리타),03:55,03:56,화물,출발,
20200801,카고룩스화물항공,CV7345,LUX(룩셈부르크 핀델 공항),03:55,04:59,화물,지연,연결-항공기에 의한 지연
20200801,델타항공,DL287,PVG(푸동),04:00,04:12,,출발,
20200801,중국화운항공,CK258,PVG(푸동),04:05,03:46,화물,출발,
