date,airline,flightNo,togo,originTime,departTime,type,state,reason
20200501,폴라에어카고 월드와이드,PO214,CVG(신시내티),00:05,00:37,화물,출발,
20200501,아시아나항공,OZ975,XIY(시안),00:05,00:13,화물,출발,
20200501,페덱스화물항공,FX9824,MEM(멤피스),00:15,00:26,화물,출발,
20200501,폴라에어카고 월드와이드,PO717,PVG(푸동),00:20,04:25,화물,지연,에 의한 지연
20200501,에미레이트항공,EK323,DXB(두바이),00:35,01:41,여객,지연,연결-항공기에 의한 지연
20200501,아틀라스화물항공,5Y513,WUX(수난 슈오팡 국제공항),00:40,11:16,화물,지연,연결-승무원연결에 의한 지연
20200501,카타르항공,QR8985,DOH(도하),00:40,14:13,화물,지연,연결-항공기에 의한 지연
20200501,유피에스화물항공,5X126,SZX(선전(심천)),00:50,00:49,,출발,
20200501,아틀라스화물항공,5Y8801,PVG(푸동),00:50,13:31,,지연,에 의한 지연
20200501,아틀라스화물항공,5Y654,ORD(시카고),00:50,00:54,화물,출발,
20200501,네덜란드항공,KL856,AMS(암스테르담),00:55,01:01,여객,출발,
20200501,실크웨이웨스트,7L613,GYD(헤이다르 알리예프),01:00,22:07,화물,지연,연결-항공기에 의한 지연
20200501,독일항공,LH726,PVG(푸동),01:05,01:21,,출발,
20200501,웨스턴글로벌항공,KD3624,PVG(푸동),01:10,00:59,,출발,
20200501,에미레이트항공,EK2663,DXB(두바이),01:20,01:50,화물,출발,
20200501,실크웨이웨스트,7L1122,GYD(헤이다르 알리예프),01:20,03:38,화물,지연,연결-항공기에 의한 지연
20200501,카타르항공,QR859,DOH(도하),01:25,01:24,여객,출발,
20200501,아틀라스화물항공,5Y8124,PVG(푸동),01:30,01:38,,출발,
20200501,아시아나항공,OZ987,PVG(푸동),01:45,02:11,화물,출발,
20200501,대한항공,KE335,PVG(푸동),01:45,03:04,화물,지연,연결-화물연결에 의한 지연
20200501,에어브리지카고,RU492,SVO(셰레메티예보(모스크바)),01:50,01:56,화물,출발,
20200501,아시아나항공,OZ9851,YNT(연대),02:10,02:14,화물,출발,
20200501,아틀라스화물항공,5Y4403,CGO(정저우),02:10,02:18,화물,출발,
20200501,에어로로직,3S587,LEJ(라이프치히),02:20,02:07,화물,출발,
20200501,칼리타화물항공,K4936,HFE(허페이),03:30,06:44,,지연,연결-항공기에 의한 지연
20200501,터키항공,TK6495,ISL(아타튀르크),04:25,06:05,화물,지연,연결-항공기에 의한 지연
20200501,대한항공,KE8387,BKK(수안나폼(방콕)),04:30,04:28,화물,출발,
20200501,원통화물항공,YG9074,YNZ(옌청),04:35,09:40,화물,지연,연결-항공기에 의한 지연
20200501,유피에스화물항공,5X71,ANC(앵커리지),05:00,05:08,,출발,
20200501,대한항공,KE591,MAD(마드리드),05:00,05:26,화물,출발,
20200501,폴라에어카고 월드와이드,PO927,HKG(홍콩),05:30,05:38,화물,출발,
20200501,폴라에어카고 월드와이드,PO751,SZX(선전(심천)),05:35,05:47,화물,출발,
20200501,유피에스화물항공,5X10,PVG(푸동),06:25,06:29,,출발,
20200501,웨스턴글로벌항공,KD6374,CSX(창사(장사)),06:25,18:14,,지연,연결-항공기에 의한 지연
20200501,에어로로직,3S575,LEJ(라이프치히),06:30,08:11,화물,지연,연결-항공기에 의한 지연
20200501,순풍항공,O37297,SZX(선전(심천)),06:40,:,화물,지연,에 의한 지연
20200501,칼리타화물항공,K4938,HFE(허페이),06:45,07:01,,출발,
20200501,폴란드항공,LO1098,WAW(바르샤바),07:40,07:47,여객,출발,
20200501,폴라에어카고 월드와이드,PO916,LAX(로스앤젤레스),08:00,17:38,화물,지연,연결-항공기에 의한 지연
20200501,대한항공,KE543,FRA(프랑크푸르트),08:00,08:13,화물,출발,
20200501,델타항공,DL3332,PVG(푸동),08:00,07:50,여객,출발,
20200501,대한항공,KE831,SHE(심양),08:05,08:47,여객,출발,
20200501,독일항공,LH722,PEK(베이징),08:25,08:36,,출발,
20200501,독일화물항공,LH8403,FRA(프랑크푸르트),08:30,09:04,,출발,
20200501,대한항공,KE9941,TAS(타슈켄트),08:30,08:39,화물,출발,
20200501,아시아나항공,OZ795,FRA(프랑크푸르트),08:30,11:08,화물,지연,연결-항공기에 의한 지연
20200501,대한항공,KE9081,JFK(뉴욕),08:40,08:49,화물,출발,
20200501,아시아나항공,OZ369,CAN(광저우),08:40,08:52,여객,출발,
20200501,페덱스화물항공,FX5142,TPE(타이완 타오위안 국제 공항),08:45,09:25,화물,출발,
20200501,아시아나항공,OZ317,TAO(청도),08:50,09:02,화물,출발,
20200501,대한항공,KE865,CAN(광저우),08:50,08:54,화물,출발,
20200501,웨스턴글로벌항공,KD7340,HKG(홍콩),08:55,09:07,,출발,
20200501,독일화물항공,LH8431,FRA(프랑크푸르트),08:55,09:29,,출발,
20200501,아시아나항공,OZ721,HKG(홍콩),09:00,09:17,여객,출발,
20200501,말레이시아항공,MH067,KUL(쿠알라룸푸르),09:00,09:12,여객,출발,
20200501,아시아나항공,OZ102,NRT(나리타),09:00,09:31,여객,출발,
20200501,대한항공,KE805,TSN(천진),09:15,09:24,화물,출발,
20200501,독일항공,LH728,PVG(푸동),09:30,09:33,,출발,
