,arrival,total,delayed_time,delayrate,cancelrate,rateu30,rateu60,rateo60,airline,id
0,ATL(애틀랜타),1341,115.0,4.77,0.22,95.0,0.22,4.55,델타항공,I4gtTWZ1wHoe1
1,DTW(디트로이트),1569,230.0,5.8,0.0,94.2,0.25,5.54,델타항공,EcZndJwR8oFei
2,JFK(뉴욕),1,0.0,0.0,0.0,100.0,0.0,0.0,델타항공,hgvppXdTEpUlZ
3,LAS(라스베이거스),5,116.0,20.0,0.0,80.0,0.0,20.0,델타항공,Cso6oQ4sSZKaJ
4,LAX(로스앤젤레스),12,0.0,0.0,0.0,100.0,0.0,0.0,델타항공,oyyysSALiPN0M
5,MNL(마닐라),9,0.0,0.0,11.11,88.89,0.0,0.0,델타항공,USS6l2v2bMJCK
6,PVG(푸동),39,0.0,0.0,2.56,97.44,0.0,0.0,델타항공,hXGE1hT5s4PPr
7,SEA(시애틀),1407,119.0,2.91,0.14,96.94,0.0,2.91,델타항공,UpUmSh2jYg1ME
