,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
55,NGO(나고야),2362,96.19,0.04,3.77,4.0,3.81,0.08,대한항공,vnDhYYKelywdP
56,NKG(남경),63,98.41,0.0,1.59,1.0,1.59,0.0,대한항공,X2qwBqp0RuQeQ
57,NRT(나리타),2912,94.85,0.1,5.05,5.0,5.15,0.0,대한항공,T4vdMAHcbzgSh
58,OIT(오이타),111,95.5,0.9,3.6,4.0,4.5,0.0,대한항공,MIqPFsL95NJ3J
59,OKA(오키나와),1063,95.35,0.19,4.46,4.0,4.61,0.85,대한항공,39e7E3twIoTKh
60,OKJ(오카야마),1110,97.57,0.09,2.34,3.0,2.43,0.09,대한항공,FO6xHsJ0GlCLk
61,ORD(시카고),1446,93.15,0.35,6.5,6.0,6.85,0.0,대한항공,ShZmn7jLy0ZEp
62,PEK(베이징),2353,93.14,0.38,6.47,7.0,6.84,0.21,대한항공,f2Xyg1HzUPS8T
63,PNH(프놈펜),1439,93.81,0.07,6.12,5.0,6.18,0.07,대한항공,Qf6GOFzY2uXZv
64,PRG(프라하),619,93.38,0.32,6.3,7.0,6.62,0.0,대한항공,eg5GBqFQl0itJ
65,PUS(김해),4547,75.68,20.24,4.08,12.0,26.54,0.79,대한항공,pLIIKSzr5kFUO
66,PVG(푸동),3425,93.98,0.23,5.79,6.0,6.01,0.09,대한항공,nVNhpVtIm0M6J
67,REP(씨엠립),50,98.0,0.0,2.0,1.0,2.0,0.0,대한항공,Vl7uuJ62UFmgx
68,RGN(양곤),1261,94.83,0.32,4.85,5.0,5.15,0.24,대한항공,0kaDlrFFB9Ppf
69,ROR(코로르),293,97.61,0.34,2.05,2.0,2.39,0.0,대한항공,pVsb0vSwbCzci
70,SEA(시애틀),1206,95.02,0.33,4.64,4.0,4.98,0.0,대한항공,gSoBc0McQTviA
71,SFO(샌프란시스코),2541,94.53,0.31,5.16,5.0,5.47,0.0,대한항공,nzRjvZ0f8QdH7
72,SGN(떤선녓(호치민)),3913,90.19,0.41,9.4,9.0,9.81,0.0,대한항공,Yalwtw45uA7So
73,SHE(심양),2381,93.95,0.25,5.8,6.0,6.05,0.0,대한항공,AVayssOTz8b8i
74,SIN(싱가포르),3109,95.62,0.16,4.21,4.0,4.41,0.03,대한항공,SpVmE8AGGuLZ0
