,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,FRA(프랑크푸르트),1158,88.32,0.69,10.99,86.0,11.66,0.17,독일항공,fsTQn2oBVSv4L
1,MUC(뮌헨),1045,93.38,0.0,6.62,120.0,6.6,0.19,독일항공,DtTQRKR5aY5bq
