,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,DOH(도하),1784,98.6,0.0,1.4,1.0,1.4,0.06,카타르항공,wlMNBl8bXYZMW
1,PUS(김해),1,0.0,100.0,0.0,54.0,100.0,0.0,카타르항공,ZtziCImiAw3c0
